conn_hash	stmt_id	exec_id	exec_time	sql_type	exe_status	db_ip	client_ip	client_host	app_name	db_user	sql_hash	from_tbs	select_cols	sql_stmt	stmt_bind_vars
conn_17950031476559498511	756	10	2024-11-14 17:48:27	SELECT	SUCCESS	192.168.14.241	10.0.168.109	host_71	app_3	user_4	hash_7272424580420123910	tbs_3	id	SELECT id, name, department FROM table_4 WHERE age > 36	bind_vars_example
conn_16970563980043033953	696	7	2024-11-14 17:48:27	DELETE	SUCCESS	192.168.104.122	10.0.180.0	host_79	app_1	user_7	hash_12301873276514244562	tbs_1	N/A	DELETE FROM table_3 WHERE department = 'Sales'	bind_vars_example
conn_3020885971993597911	361	2	2024-11-14 17:48:27	DELETE	SUCCESS	192.168.166.27	10.0.44.64	host_2	app_4	user_2	hash_5778329508198730874	tbs_1	N/A	DELETE FROM table_3 WHERE name LIKE 'A%' AND name LIKE 'A%' AND name LIKE 'A%'	bind_vars_example
conn_17965855422255916183	417	9	2024-11-14 17:48:27	UPDATE	SUCCESS	192.168.163.66	10.0.61.119	host_96	app_4	user_5	hash_7891040472993033650	tbs_3	N/A	UPDATE table_1 SET salary = 5076 WHERE name LIKE 'C%'	bind_vars_example
conn_1553378997860234034	704	7	2024-11-14 17:48:27	DELETE	SUCCESS	192.168.209.156	10.0.4.114	host_39	app_3	user_6	hash_13669569675486477292	tbs_3	N/A	DELETE FROM table_2 WHERE name LIKE 'C%'	bind_vars_example
conn_12425640508606379762	808	5	2024-11-14 17:48:27	DELETE	FAILURE	192.168.150.108	10.0.249.187	host_13	app_1	user_4	hash_3699878313852134400	tbs_1	N/A	DELETE FROM table_2 WHERE name LIKE 'C%' AND department = 'Engineering'	bind_vars_example
conn_11484050127220749488	479	4	2024-11-14 17:48:27	INSERT	SUCCESS	192.168.129.111	10.0.231.188	host_63	app_4	user_1	hash_4056235939891852559	tbs_3	N/A	INSERT INTO table_1 (id, name, age, salary) VALUES (30, 'John Doe', 20, 7097)	bind_vars_example
conn_2431541038229906668	313	6	2024-11-14 17:48:27	INSERT	FAILURE	192.168.44.130	10.0.89.226	host_23	app_4	user_8	hash_17508494706222379798	tbs_4	N/A	INSERT INTO table_3 (id, name, age, salary) VALUES (98, 'John Doe', 48, 7359)	bind_vars_example
conn_9444052213929598263	515	6	2024-11-14 17:48:27	DELETE	FAILURE	192.168.126.66	10.0.21.246	host_52	app_1	user_2	hash_7985902021421578201	tbs_1	N/A	DELETE FROM table_4 WHERE department = 'HR' AND name LIKE 'B%' AND name LIKE 'B%'	bind_vars_example
conn_5492778657334752448	796	6	2024-11-14 17:48:27	UPDATE	SUCCESS	192.168.33.75	10.0.82.98	host_58	app_3	user_3	hash_12472838864041048782	tbs_2	N/A	UPDATE table_1 SET salary = 4965 WHERE name LIKE 'A%' AND name LIKE 'A%' AND salary < 6099	bind_vars_example
conn_4895493672284072453	672	1	2024-11-14 17:48:27	INSERT	SUCCESS	192.168.83.38	10.0.21.171	host_53	app_4	user_7	hash_12283771123618399303	tbs_4	N/A	INSERT INTO table_2 (id, name, age, salary) VALUES (17, 'John Doe', 32, 7787)	bind_vars_example
conn_17401940301071213317	3	8	2024-11-14 17:48:27	SELECT	SUCCESS	192.168.67.137	10.0.249.46	host_10	app_3	user_2	hash_2963146208745159746	tbs_2	age	SELECT id, age FROM table_1 WHERE age > 47 AND salary < 4484	bind_vars_example
conn_9455960307445601823	537	9	2024-11-14 17:48:27	SELECT	SUCCESS	192.168.139.119	10.0.6.71	host_21	app_1	user_7	hash_8463944574422005623	tbs_1	department, id, department	SELECT id, age, name FROM table_4 WHERE salary < 5411 AND age > 32	bind_vars_example
conn_15211151620280065583	372	5	2024-11-14 17:48:27	SELECT	FAILURE	192.168.167.39	10.0.23.89	host_2	app_1	user_5	hash_1635506472853758546	tbs_1	salary, age	SELECT id, salary FROM table_2 WHERE age > 39 AND salary < 5528	bind_vars_example
conn_728943668223105718	886	2	2024-11-14 17:48:27	UPDATE	SUCCESS	192.168.117.187	10.0.246.167	host_43	app_2	user_8	hash_14125262527144294899	tbs_2	N/A	UPDATE table_4 SET salary = 7111 WHERE salary < 6961 AND department = 'Sales'	bind_vars_example
conn_3043857356153942805	940	3	2024-11-14 17:48:27	DELETE	FAILURE	192.168.8.86	10.0.235.2	host_81	app_4	user_5	hash_4772907573107162839	tbs_3	N/A	DELETE FROM table_4 WHERE department = 'Sales' AND name LIKE 'C%'	bind_vars_example
conn_1706652046377696997	630	10	2024-11-14 17:48:27	UPDATE	SUCCESS	192.168.96.101	10.0.237.97	host_40	app_3	user_1	hash_3712398648528782860	tbs_2	N/A	UPDATE table_4 SET salary = 3647 WHERE salary < 4891 AND age > 42 AND department = 'HR'	bind_vars_example
conn_17040496286585463694	477	4	2024-11-14 17:48:27	SELECT	SUCCESS	192.168.43.42	10.0.131.166	host_24	app_1	user_5	hash_9354286248959295657	tbs_2	salary, age, age, name	SELECT name, id, salary, department FROM table_1 WHERE department = 'Sales' AND name LIKE 'C%'	bind_vars_example
